material_id,formula,band_gap,hull_eV,formation_eV,density,point_group,spacegroup,crystal_system,piezoelectric_modulus,refractive_index,e_total,e_electronic,photonic_score,photonic_notes,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber
mp-20496,Ga2PbO4,3.4457000000000004,0.0,-2.070018908571428,6.412771573477277,mm2,Ama2,Orthorhombic,1.0730014491602091,2.0249239804660983,21.639104953333334,4.100317126666668,11,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 3.45 eV — transparent at 775nm | ✓ n=2.02 — ideal waveguide confinement | ✓ Piezo=1.07 C/m² — strong χ⁽²⁾ proxy,8.0,82.0,74.0,25.142857142857142,19.59183673469388,8.0,74.0,87.0,13.0,82.42857142857143,5.224489795918367,87.0,15.9994,207.2,191.20059999999998,58.663371428571416,48.75882448979591,15.9994,54.8,600.61,545.8100000000001,203.6614285714286,170.1273469387755,54.8,13.0,16.0,3.0,14.857142857142858,1.3061224489795917,16.0,2.0,6.0,4.0,3.142857142857143,1.3061224489795917,2.0,66.0,146.0,80.0,93.42857142857143,31.346938775510207,66.0,1.81,3.44,1.63,2.815714285714286,0.7134693877551019,3.44,2.0,2.0,0.0,2.0,0.0,2.0,1.0,4.0,3.0,2.857142857142857,1.3061224489795917,4.0,0.0,10.0,10.0,4.285714285714286,4.8979591836734695,0.0,0.0,14.0,14.0,2.0,3.4285714285714284,0.0,6.0,28.0,22.0,11.142857142857142,5.877551020408163,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.142857142857143,1.3061224489795917,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.142857142857143,1.3061224489795917,2.0,9.105,28.11,19.005,14.606428571428571,6.287346938775511,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,57.285714285714285,51.75510204081633,12.0
mp-1019550,BeGeN2,3.3941,0.0,-0.8018419456250001,4.938580350142996,mm2,Pna2_1,Orthorhombic,1.240779262761914,2.3008681325389624,9.733288446666668,5.293994163333333,11,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 3.39 eV — transparent at 775nm | ✓ n=2.30 — ideal waveguide confinement | ✓ Piezo=1.24 C/m² — strong χ⁽²⁾ proxy,4.0,32.0,28.0,12.5,9.75,7.0,67.0,82.0,15.0,77.5,5.25,82.0,9.012182,72.64,63.627818000000005,27.4163955,22.61180225,14.0067,63.05,1560.0,1496.95,724.375,661.325,63.05,2.0,15.0,13.0,11.5,4.75,15.0,2.0,4.0,2.0,2.5,0.75,2.0,71.0,120.0,49.0,89.5,18.5,71.0,1.57,3.04,1.47,2.415,0.625,3.04,2.0,2.0,0.0,2.0,0.0,2.0,0.0,3.0,3.0,2.0,1.0,3.0,0.0,10.0,10.0,2.5,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,12.0,6.5,3.75,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.5,1.25,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.5,1.25,3.0,7.89,23.005,15.114999999999998,15.108125000000001,3.9484375,14.76875,0.0,6.437,6.437,3.3142500000000004,3.12275,6.437,0.0,0.0,0.0,0.0,0.0,0.0,194.0,225.0,31.0,201.75,11.625,194.0
mp-7611,Li2CaGeO4,4.1135,0.0,-2.604269733958333,3.481782510946955,-42m,I-42m,Tetragonal,1.7575299999999991,1.814903552074692,10.413889626666666,3.2938749033333328,11,✓ Noncentro (-42m) — χ⁽²⁾ allowed | ✓ Gap 4.11 eV — transparent at 775nm | ✓ n=1.81 — ideal waveguide confinement | ✓ Piezo=1.76 C/m² — strong χ⁽²⁾ proxy,3.0,32.0,29.0,11.25,7.375,8.0,1.0,87.0,86.0,54.5,38.625,87.0,6.941,72.64,65.699,23.8247,16.26715,15.9994,54.8,1211.4,1156.6000000000001,431.6225,376.8225,54.8,1.0,16.0,15.0,10.25,6.6875,16.0,2.0,4.0,2.0,2.5,0.75,2.0,66.0,176.0,110.0,102.0,36.0,66.0,0.98,3.44,2.46,2.34125,1.0987500000000001,3.44,1.0,2.0,1.0,1.75,0.375,2.0,0.0,4.0,4.0,2.25,1.75,4.0,0.0,10.0,10.0,1.25,2.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,13.0,5.25,2.9375,6.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,4.0,4.0,1.5,1.125,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.75,0.8125,2.0,9.105,37.77,28.665000000000003,16.297708333324998,7.192708333324999,9.105,0.0,0.383,0.383,0.047875,0.08378125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,119.5,107.5,12.0
mp-561104,Ga(IO3)3,3.3187,0.0,-1.0737182925000004,5.214145831034352,6,P6_3,Hexagonal,1.449313576111119,2.025709574445458,8.921913306667621,4.103499279999999,11,✓ Noncentro (6) — χ⁽²⁾ allowed | ✓ Gap 3.32 eV — transparent at 775nm | ✓ n=2.03 — ideal waveguide confinement | ✓ Piezo=1.45 C/m² — strong χ⁽²⁾ proxy,8.0,53.0,45.0,20.153846153846153,16.828402366863905,8.0,74.0,96.0,22.0,88.07692307692308,3.6568047337278125,87.0,15.9994,126.90447,110.90507000000001,45.72546230769231,41.159163195266274,15.9994,54.8,386.85,332.05,150.51230769230773,132.52473372781066,54.8,13.0,17.0,4.0,16.0,0.46153846153846156,16.0,2.0,5.0,3.0,2.8461538461538463,1.1715976331360947,2.0,66.0,139.0,73.0,87.15384615384616,29.289940828402372,66.0,1.81,3.44,1.63,3.1346153846153846,0.4228402366863905,3.44,2.0,2.0,0.0,2.0,0.0,2.0,1.0,5.0,4.0,4.0,0.46153846153846156,4.0,0.0,10.0,10.0,3.076923076923077,4.260355029585799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,11.0,9.076923076923077,4.260355029585799,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,2.0,0.46153846153846156,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,2.0,0.46153846153846156,2.0,9.105,43.015,33.91,17.680576923076924,11.873875739644971,9.105,0.0,1.062,1.062,0.24507692307692308,0.3770414201183432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,64.0,52.0,28.0,22.153846153846153,12.0
mp-638731,LaCO3F,3.9263,0.0,-3.132066028888888,4.737753261452991,-6m2,P-62m,Hexagonal,1.531168991657237,1.8167048971512496,15.861444033333331,3.300416683333333,11,✓ Noncentro (-6m2) — χ⁽²⁾ allowed | ✓ Gap 3.93 eV — transparent at 775nm | ✓ n=1.82 — ideal waveguide confinement | ✓ Piezo=1.53 C/m² — strong χ⁽²⁾ proxy,6.0,57.0,51.0,16.0,13.666666666666666,8.0,13.0,93.0,80.0,74.0,20.333333333333332,87.0,12.0107,138.90547,126.89477000000001,36.318795533333336,34.19555815555555,15.9994,53.5,3823.0,3769.5,872.3166666666666,1090.4555555555555,54.8,3.0,17.0,14.0,13.666666666666666,3.555555555555556,16.0,2.0,6.0,4.0,2.6666666666666665,1.111111111111111,2.0,57.0,207.0,150.0,89.66666666666667,39.111111111111114,66.0,1.1,3.98,2.88,2.9916666666666667,0.7777777777777777,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,3.1666666666666665,1.4444444444444446,4.0,0.0,1.0,1.0,0.16666666666666666,0.2777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,4.0,5.333333333333333,1.2222222222222223,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.8333333333333333,0.8888888888888888,2.0,0.0,9.0,9.0,1.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,8.0,3.3333333333333335,2.111111111111111,2.0,5.64,36.8975,31.2575,13.26,7.879166666666667,9.105,0.0,4.496,4.496,1.0776666666666668,1.436888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,194.0,182.0,73.16666666666667,80.55555555555556,12.0
mp-3933,Mg2PN3,3.537100000000001,0.0,-1.1050986107738094,3.1289768434960896,mm2,Cmc2_1,Orthorhombic,2.710455143587512,2.1018340308724026,9.92768438,4.417706293333333,11,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 3.54 eV — transparent at 775nm | ✓ n=2.10 — ideal waveguide confinement | ✓ Piezo=2.71 C/m² — strong χ⁽²⁾ proxy,7.0,15.0,8.0,10.0,3.0,7.0,68.0,83.0,15.0,77.5,6.333333333333333,82.0,14.0067,30.973762,16.967062,20.267310333333334,6.260610333333333,14.0067,63.05,923.0,859.95,392.07500000000005,353.95,63.05,2.0,15.0,13.0,10.666666666666666,5.777777777777778,15.0,2.0,3.0,1.0,2.5,0.5,2.0,71.0,141.0,70.0,100.33333333333333,29.333333333333332,71.0,1.31,3.04,1.73,2.3216666666666668,0.7183333333333334,3.04,2.0,2.0,0.0,2.0,0.0,2.0,0.0,3.0,3.0,2.0,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,4.0,1.3333333333333333,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.3333333333333333,3.0,14.76875,22.89,8.12125,18.776081349200002,4.0073313492,14.76875,0.0,6.437,6.437,3.489333333333333,2.9476666666666667,6.437,0.0,0.0,0.0,0.0,0.0,0.0,2.0,194.0,192.0,162.0,53.333333333333336,194.0
mp-1220034,PHPbO4,3.8626374607629046,0.0,-2.176725317270407,5.451057108879921,m,Pc,Monoclinic,1.170372900668497,1.8440496278571248,15.078295963333334,3.4005190300000003,11,✓ Noncentro (m) — χ⁽²⁾ allowed | ✓ Gap 3.86 eV — transparent at 775nm | ✓ n=1.84 — ideal waveguide confinement | ✓ Piezo=1.17 C/m² — strong χ⁽²⁾ proxy,1.0,82.0,81.0,18.571428571428573,18.12244897959184,8.0,81.0,92.0,11.0,86.28571428571429,2.448979591836732,87.0,1.00794,207.2,206.19206,43.31132885714286,46.8253346122449,15.9994,14.01,600.61,586.6,164.4457142857143,168.2910204081633,54.8,1.0,16.0,15.0,13.428571428571429,3.551020408163265,16.0,1.0,6.0,5.0,2.5714285714285716,1.1020408163265307,2.0,31.0,146.0,115.0,78.28571428571429,27.55102040816327,66.0,2.19,3.44,1.25,2.9257142857142857,0.5877551020408163,3.44,1.0,2.0,1.0,1.8571428571428572,0.24489795918367344,2.0,0.0,4.0,4.0,3.0,1.1428571428571428,4.0,0.0,10.0,10.0,1.4285714285714286,2.4489795918367347,0.0,0.0,14.0,14.0,2.0,3.4285714285714284,0.0,1.0,28.0,27.0,8.285714285714286,5.63265306122449,6.0,0.0,1.0,1.0,0.14285714285714285,0.24489795918367346,0.0,0.0,4.0,4.0,2.142857142857143,0.7755102040816327,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.2857142857142856,0.6938775510204082,2.0,6.615,28.11,21.494999999999997,13.387891156457142,6.829844509224489,9.105,0.0,7.853,7.853,1.3539999999999999,1.9342857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,225.0,223.0,67.0,81.42857142857143,12.0
mp-6062,YAl3(BO3)4,5.359,0.0,-3.244045756333333,3.6340701753255913,32,R32,Trigonal,1.650112363636572,1.805701328200948,10.629613616666669,3.260557286666667,11,✓ Noncentro (32) — χ⁽²⁾ allowed | ✓ Gap 5.36 eV — transparent at 775nm | ✓ n=1.81 — ideal waveguide confinement | ✓ Piezo=1.65 C/m² — strong χ⁽²⁾ proxy,5.0,39.0,34.0,9.7,3.9199999999999995,8.0,12.0,87.0,75.0,78.15,10.62,87.0,10.811,88.90585,78.09485000000001,20.254363289999997,8.883301263999998,15.9994,54.8,2348.0,2293.2,732.4505,813.1806,54.8,3.0,16.0,13.0,14.3,2.04,16.0,2.0,5.0,3.0,2.3,0.47999999999999987,2.0,66.0,190.0,124.0,84.05,21.68,66.0,1.22,3.44,2.2199999999999998,2.7745,0.7985999999999999,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.75,1.5,4.0,0.0,1.0,1.0,0.05,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,4.8,1.44,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.95,1.435,2.0,0.0,9.0,9.0,0.45,0.8550000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,3.4,1.6799999999999997,2.0,7.1725,32.365,25.192500000000003,10.98775,3.7854,9.105,0.0,1.524,1.524,0.3048,0.48768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,83.85,86.22,12.0
mp-6289,Ba2Ti(GeO4)2,3.7129,0.0,-2.894512731410256,4.605709030235431,4mm,P4bm,Tetragonal,3.071859999999999,1.8578130933977184,27.294080520000005,3.45146949,11,✓ Noncentro (4mm) — χ⁽²⁾ allowed | ✓ Gap 3.71 eV — transparent at 775nm | ✓ n=1.86 — ideal waveguide confinement | ✓ Piezo=3.07 C/m² — strong χ⁽²⁾ proxy,8.0,56.0,48.0,20.153846153846153,14.958579881656805,8.0,9.0,87.0,78.0,70.38461538461539,23.10059171597633,87.0,15.9994,137.327,121.3276,45.83047692307692,36.71517159763313,15.9994,54.8,1941.0,1886.2,523.2461538461538,576.5491124260354,54.8,2.0,16.0,14.0,12.615384615384615,4.591715976331361,16.0,2.0,6.0,4.0,3.076923076923077,1.3254437869822484,2.0,66.0,215.0,149.0,104.46153846153847,47.337278106508876,66.0,0.89,3.44,2.55,2.6815384615384614,0.9334911242603551,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.769230769230769,1.5147928994082842,4.0,0.0,10.0,10.0,1.6923076923076923,2.603550295857988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,12.0,6.461538461538462,2.3195266272189348,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.8461538461538463,0.8520710059171598,2.0,0.0,8.0,8.0,0.6153846153846154,1.136094674556213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,2.4615384615384617,1.3254437869822486,2.0,9.105,63.59,54.485,20.20923076923077,14.208165680473373,9.105,0.0,0.383,0.383,0.058923076923076925,0.09971597633136095,0.0,0.0,2.25333333333e-05,2.25333333333e-05,1.7333333333307692e-06,3.1999999999952666e-06,0.0,12.0,229.0,217.0,92.15384615384616,98.65088757396451,12.0
mp-3666,LiTaO3,3.7003,0.0,-3.125358770133336,7.452082834914814,3m,R3c,Trigonal,3.4006913517375352,2.2893029295690286,38.09506762305082,5.240907903333336,11,✓ Noncentro (3m) — χ⁽²⁾ allowed | ✓ Gap 3.70 eV — transparent at 775nm | ✓ n=2.29 — ideal waveguide confinement | ✓ Piezo=3.40 C/m² — strong χ⁽²⁾ proxy,3.0,73.0,70.0,20.0,21.2,8.0,1.0,87.0,86.0,62.0,30.0,87.0,6.941,180.94788,174.00688,47.177416,53.508185600000004,15.9994,54.8,3290.0,3235.2,781.618,1003.3528,54.8,1.0,16.0,15.0,10.8,6.24,16.0,2.0,6.0,4.0,2.8,1.2799999999999998,2.0,66.0,170.0,104.0,99.2,39.839999999999996,66.0,0.98,3.44,2.46,2.56,1.0559999999999998,3.44,1.0,2.0,1.0,1.8,0.31999999999999995,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,3.0,3.0,0.6,0.96,0.0,0.0,14.0,14.0,2.8,4.4799999999999995,0.0,1.0,19.0,18.0,7.6,4.56,6.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,7.0,7.0,1.4,2.2399999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0,2.8,1.6799999999999997,2.0,9.105,18.12,9.015,12.40566666666,3.9607999999919996,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,98.8,104.16,12.0
mp-3731,LiNbO3,3.3358000000000003,0.0,-2.899517651666666,4.577485857989899,m,R3c,Trigonal,4.634674744652731,2.4109514117874715,39.9828978814679,5.812686710000001,11,✓ Noncentro (m) — χ⁽²⁾ allowed | ✓ Gap 3.34 eV — transparent at 775nm | ✓ n=2.41 — ideal waveguide confinement | ✓ Piezo=4.63 C/m² — strong χ⁽²⁾ proxy,3.0,41.0,38.0,13.6,10.959999999999999,8.0,1.0,87.0,86.0,61.8,30.24,87.0,6.941,92.90638,85.96538,29.569115999999998,25.334905600000003,15.9994,54.8,2750.0,2695.2,673.618,830.5528,54.8,1.0,16.0,15.0,10.8,6.24,16.0,2.0,5.0,3.0,2.6,0.9600000000000002,2.0,66.0,164.0,98.0,98.0,38.4,66.0,0.98,3.44,2.46,2.58,1.032,3.44,1.0,2.0,1.0,1.6,0.48,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,4.0,4.0,0.8,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,4.8,1.52,6.0,0.0,1.0,1.0,0.4,0.4800000000000001,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,6.0,6.0,1.2,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0,2.8,1.6799999999999997,2.0,9.105,18.18,9.075,12.41766666666,3.9751999999919994,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,98.8,104.16,12.0
