material_id,formula,band_gap,hull_eV,formation_eV,density,point_group,spacegroup,crystal_system,nelements,nsites,elements,is_noncentro,piezoelectric_modulus,refractive_index,e_total,e_electronic,photonic_score,photonic_notes,photonic_binary,r_est,loss_est_dB,sq_dB_pred,r_estimated,T_total,final_composite
mp-1217830,TaTlWO6,3.2355,0.0,-2.516774327296297,7.619552106607962,mm2,Ima2,Orthorhombic,4,18,"['O', 'Ta', 'Tl', 'W']",True,11.039004585561855,2.3029513079235238,252.7668214100001,5.303584726666667,11,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 3.24 eV — transparent at 775nm | ✓ n=2.30 — ideal waveguide confinement | ✓ Piezo=11.04 C/m² — strong χ⁽²⁾ proxy,1,2.8026,0.083,3.76,2.8026,0.5815,0.6253
mp-3731,LiNbO3,3.3358000000000003,0.0,-2.899517651666666,4.577485857989899,m,R3c,Trigonal,3,40,"['Li', 'Nb', 'O']",True,4.634674744652731,2.4109514117874715,39.9828978814679,5.812686710000001,11,✓ Noncentro (m) — χ⁽²⁾ allowed | ✓ Gap 3.34 eV — transparent at 775nm | ✓ n=2.41 — ideal waveguide confinement | ✓ Piezo=4.63 C/m² — strong χ⁽²⁾ proxy,1,1.15,0.0723,3.252,1.15,0.5858,0.6084
mp-3666,LiTaO3,3.7003,0.0,-3.125358770133336,7.452082834914814,3m,R3c,Trigonal,3,10,"['Li', 'O', 'Ta']",True,3.4006913517375352,2.2893029295690286,38.09506762305082,5.240907903333336,11,✓ Noncentro (3m) — χ⁽²⁾ allowed | ✓ Gap 3.70 eV — transparent at 775nm | ✓ n=2.29 — ideal waveguide confinement | ✓ Piezo=3.40 C/m² — strong χ⁽²⁾ proxy,1,0.8659,0.0845,2.824,0.8659,0.5809,0.5941
mp-6289,Ba2Ti(GeO4)2,3.7129,0.0,-2.894512731410256,4.605709030235431,4mm,P4bm,Tetragonal,4,26,"['Ba', 'Ge', 'O', 'Ti']",True,3.071859999999999,1.8578130933977184,27.294080520000005,3.45146949,11,✓ Noncentro (4mm) — χ⁽²⁾ allowed | ✓ Gap 3.71 eV — transparent at 775nm | ✓ n=1.86 — ideal waveguide confinement | ✓ Piezo=3.07 C/m² — strong χ⁽²⁾ proxy,1,0.8683,0.1581,2.635,0.8683,0.5521,0.5878
mp-3933,Mg2PN3,3.537100000000001,0.0,-1.1050986107738094,3.1289768434960896,mm2,Cmc2_1,Orthorhombic,3,12,"['Mg', 'N', 'P']",True,2.710455143587512,2.1018340308724026,9.92768438,4.417706293333333,11,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 3.54 eV — transparent at 775nm | ✓ n=2.10 — ideal waveguide confinement | ✓ Piezo=2.71 C/m² — strong χ⁽²⁾ proxy,1,0.7203,0.1092,2.486,0.7203,0.571,0.5829
mp-6853,Ca3TaGa3(SiO7)2,3.9126,0.0,-3.081639833036231,4.471463899478167,32,P321,Trigonal,5,23,"['Ca', 'Ga', 'O', 'Si', 'Ta']",True,2.679148209288183,1.865799364883588,32.114435516761354,3.48120727,11,✓ Noncentro (32) — χ⁽²⁾ allowed | ✓ Gap 3.91 eV — transparent at 775nm | ✓ n=1.87 — ideal waveguide confinement | ✓ Piezo=2.68 C/m² — strong χ⁽²⁾ proxy,1,0.7557,0.1561,2.448,0.7557,0.5528,0.5816
mp-550925,NaScAs2O7,3.46,0.0,-2.357954287852664,3.6462267853828,2,C2,Monoclinic,4,11,"['As', 'Na', 'O', 'Sc']",True,2.670094596880208,1.8444036145413871,16.660436086666667,3.4018246933333334,11,✓ Noncentro (2) — χ⁽²⁾ allowed | ✓ Gap 3.46 eV — transparent at 775nm | ✓ n=1.84 — ideal waveguide confinement | ✓ Piezo=2.67 C/m² — strong χ⁽²⁾ proxy,1,0.7575,0.1616,2.439,0.7575,0.5507,0.5813
mp-1245510,Mg3MoN4,3.4901,0.0,-0.9721851925000004,3.647223964816253,mm2,Pmn2_1,Orthorhombic,3,16,"['Mg', 'Mo', 'N']",True,2.352154731198609,2.296470774906574,10.268663116666666,5.27377802,11,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 3.49 eV — transparent at 775nm | ✓ n=2.30 — ideal waveguide confinement | ✓ Piezo=2.35 C/m² — strong χ⁽²⁾ proxy,1,0.598,0.0837,2.258,0.598,0.5812,0.5753
mp-3491,NbSbO4,2.4304,0.0,-2.523132912916666,5.6213778581901055,mm2,Pna2_1,Orthorhombic,3,24,"['Nb', 'O', 'Sb']",True,8.088503480786787,2.477512291930489,74.87630826333334,6.138067156666666,9,✓ Noncentro (mm2) — χ⁽²⁾ allowed | △ Gap 2.43 eV — marginal TPA risk | ✓ n=2.48 — ideal waveguide confinement | ✓ Piezo=8.09 C/m² — strong χ⁽²⁾ proxy,1,1.9799,0.0667,3.735,1.9799,0.588,0.57
mp-7375,KNbO3,2.3108,0.0,-2.852127680450001,4.499799384805183,3m,R3m,Trigonal,3,5,"['K', 'Nb', 'O']",True,6.016268867731636,2.314658051779283,30.300251476620318,5.357641896666667,9,✓ Noncentro (3m) — χ⁽²⁾ allowed | △ Gap 2.31 eV — marginal TPA risk | ✓ n=2.31 — ideal waveguide confinement | ✓ Piezo=6.02 C/m² — strong χ⁽²⁾ proxy,1,1.5235,0.0818,3.51,1.5235,0.5819,0.5625
