material_id,formula,band_gap,hull_eV,formation_eV,density,point_group,spacegroup,crystal_system,piezoelectric_modulus,refractive_index,e_total,e_electronic,photonic_score,photonic_notes
mp-20496,Ga2PbO4,3.4457000000000004,0.0,-2.0700189085714276,6.412771573477277,mm2,Ama2,Orthorhombic,1.0730014491602091,2.0249239804660983,21.639104953333334,4.100317126666668,11,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 3.45 eV — transparent at 775nm | ✓ n=2.02 — ideal waveguide confinement | ✓ Piezo=1.07 C/m² — strong χ⁽²⁾ proxy
mp-1019550,BeGeN2,3.3941,0.0,-0.8018419456250001,4.938580350142996,mm2,Pna2_1,Orthorhombic,1.240779262761914,2.3008681325389624,9.733288446666668,5.293994163333333,11,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 3.39 eV — transparent at 775nm | ✓ n=2.30 — ideal waveguide confinement | ✓ Piezo=1.24 C/m² — strong χ⁽²⁾ proxy
mp-7611,Li2CaGeO4,4.1135,0.0,-2.604269733958333,3.481782510946955,-42m,I-42m,Tetragonal,1.7575299999999991,1.8149035520746917,10.413889626666666,3.2938749033333328,11,✓ Noncentro (-42m) — χ⁽²⁾ allowed | ✓ Gap 4.11 eV — transparent at 775nm | ✓ n=1.81 — ideal waveguide confinement | ✓ Piezo=1.76 C/m² — strong χ⁽²⁾ proxy
mp-561104,Ga(IO3)3,3.3186999999999998,0.0,-1.0737182925000004,5.214145831034352,6,P6_3,Hexagonal,1.449313576111119,2.025709574445458,8.921913306667621,4.1034992799999985,11,✓ Noncentro (6) — χ⁽²⁾ allowed | ✓ Gap 3.32 eV — transparent at 775nm | ✓ n=2.03 — ideal waveguide confinement | ✓ Piezo=1.45 C/m² — strong χ⁽²⁾ proxy
mp-638731,LaCO3F,3.9263,0.0,-3.1320660288888877,4.737753261452991,-6m2,P-62m,Hexagonal,1.531168991657237,1.8167048971512496,15.861444033333333,3.300416683333333,11,✓ Noncentro (-6m2) — χ⁽²⁾ allowed | ✓ Gap 3.93 eV — transparent at 775nm | ✓ n=1.82 — ideal waveguide confinement | ✓ Piezo=1.53 C/m² — strong χ⁽²⁾ proxy
mp-3933,Mg2PN3,3.5371000000000006,0.0,-1.1050986107738094,3.1289768434960896,mm2,Cmc2_1,Orthorhombic,2.710455143587512,2.1018340308724026,9.92768438,4.417706293333333,11,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 3.54 eV — transparent at 775nm | ✓ n=2.10 — ideal waveguide confinement | ✓ Piezo=2.71 C/m² — strong χ⁽²⁾ proxy
mp-1220034,PHPbO4,3.8626374607629046,0.0,-2.176725317270407,5.451057108879921,m,Pc,Monoclinic,1.170372900668497,1.8440496278571248,15.078295963333334,3.4005190300000003,11,✓ Noncentro (m) — χ⁽²⁾ allowed | ✓ Gap 3.86 eV — transparent at 775nm | ✓ n=1.84 — ideal waveguide confinement | ✓ Piezo=1.17 C/m² — strong χ⁽²⁾ proxy
mp-6062,YAl3(BO3)4,5.359,0.0,-3.244045756333333,3.6340701753255913,32,R32,Trigonal,1.650112363636572,1.8057013282009478,10.629613616666667,3.260557286666667,11,✓ Noncentro (32) — χ⁽²⁾ allowed | ✓ Gap 5.36 eV — transparent at 775nm | ✓ n=1.81 — ideal waveguide confinement | ✓ Piezo=1.65 C/m² — strong χ⁽²⁾ proxy
mp-6289,Ba2Ti(GeO4)2,3.7129000000000003,0.0,-2.894512731410256,4.605709030235431,4mm,P4bm,Tetragonal,3.071859999999999,1.8578130933977184,27.294080520000005,3.4514694899999996,11,✓ Noncentro (4mm) — χ⁽²⁾ allowed | ✓ Gap 3.71 eV — transparent at 775nm | ✓ n=1.86 — ideal waveguide confinement | ✓ Piezo=3.07 C/m² — strong χ⁽²⁾ proxy
mp-3666,LiTaO3,3.7003,0.0,-3.125358770133336,7.452082834914814,3m,R3c,Trigonal,3.4006913517375352,2.2893029295690286,38.09506762305082,5.240907903333336,11,✓ Noncentro (3m) — χ⁽²⁾ allowed | ✓ Gap 3.70 eV — transparent at 775nm | ✓ n=2.29 — ideal waveguide confinement | ✓ Piezo=3.40 C/m² — strong χ⁽²⁾ proxy
mp-3731,LiNbO3,3.3358000000000003,0.0,-2.899517651666666,4.577485857989899,m,R3c,Trigonal,4.634674744652731,2.4109514117874715,39.9828978814679,5.812686710000001,11,✓ Noncentro (m) — χ⁽²⁾ allowed | ✓ Gap 3.34 eV — transparent at 775nm | ✓ n=2.41 — ideal waveguide confinement | ✓ Piezo=4.63 C/m² — strong χ⁽²⁾ proxy
mp-38322,Mg(IO3)2,3.4840000000000004,0.0,-1.3970649444444456,4.710937956777127,2,P2_1,Monoclinic,1.174947054962728,1.8987228119624695,7.083063593333333,3.6051483166666674,11,✓ Noncentro (2) — χ⁽²⁾ allowed | ✓ Gap 3.48 eV — transparent at 775nm | ✓ n=1.90 — ideal waveguide confinement | ✓ Piezo=1.17 C/m² — strong χ⁽²⁾ proxy
mp-567278,Sr(Si3N4)2,3.2116,0.0,-1.330957356000001,3.4730472934064993,mm2,Imm2,Orthorhombic,1.3361487121574451,2.1474006721305336,13.432889943333334,4.611329646666667,11,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 3.21 eV — transparent at 775nm | ✓ n=2.15 — ideal waveguide confinement | ✓ Piezo=1.34 C/m² — strong χ⁽²⁾ proxy
mp-13252,SnB4O7,3.571999999999999,0.0,-2.6146258118055563,4.432943406220965,mm2,Pmn2_1,Orthorhombic,1.36381,1.982969616509542,21.117567016666666,3.9321685,11,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 3.57 eV — transparent at 775nm | ✓ n=1.98 — ideal waveguide confinement | ✓ Piezo=1.36 C/m² — strong χ⁽²⁾ proxy
mp-10572,NaPN2,4.685100000000001,0.0,-0.8074272015055426,3.1951484635986986,-42m,I-42d,Tetragonal,1.43643761169638,2.005325591186296,9.914919876658503,4.021330726666668,11,✓ Noncentro (-42m) — χ⁽²⁾ allowed | ✓ Gap 4.69 eV — transparent at 775nm | ✓ n=2.01 — ideal waveguide confinement | ✓ Piezo=1.44 C/m² — strong χ⁽²⁾ proxy
mp-6853,Ca3TaGa3(SiO7)2,3.9126000000000003,0.0,-3.081639833036231,4.471463899478167,32,P321,Trigonal,2.679148209288183,1.865799364883588,32.114435516761354,3.48120727,11,✓ Noncentro (32) — χ⁽²⁾ allowed | ✓ Gap 3.91 eV — transparent at 775nm | ✓ n=1.87 — ideal waveguide confinement | ✓ Piezo=2.68 C/m² — strong χ⁽²⁾ proxy
mp-558387,TeOF2,4.2002,0.0,-2.1164074666666663,5.047810666340969,2,P2_1,Monoclinic,1.217635664351204,1.805838536525345,15.039083056666668,3.2610528199999997,11,✓ Noncentro (2) — χ⁽²⁾ allowed | ✓ Gap 4.20 eV — transparent at 775nm | ✓ n=1.81 — ideal waveguide confinement | ✓ Piezo=1.22 C/m² — strong χ⁽²⁾ proxy
mp-1217830,TaTlWO6,3.2355,0.0,-2.5167743272962975,7.619552106607962,mm2,Ima2,Orthorhombic,11.039004585561857,2.3029513079235233,252.76682141000006,5.303584726666667,11,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 3.24 eV — transparent at 775nm | ✓ n=2.30 — ideal waveguide confinement | ✓ Piezo=11.04 C/m² — strong χ⁽²⁾ proxy
mp-550925,NaScAs2O7,3.46,0.0,-2.357954287852664,3.6462267853827997,2,C2,Monoclinic,2.670094596880208,1.8444036145413871,16.660436086666667,3.4018246933333334,11,✓ Noncentro (2) — χ⁽²⁾ allowed | ✓ Gap 3.46 eV — transparent at 775nm | ✓ n=1.84 — ideal waveguide confinement | ✓ Piezo=2.67 C/m² — strong χ⁽²⁾ proxy
mp-3677,MgSiN2,3.9662000000000006,0.0,-1.3460087593750005,3.1469685511783623,mm2,Pna2_1,Orthorhombic,1.5784585446251032,2.089680300109724,8.757305796666666,4.366763756666667,11,✓ Noncentro (mm2) — χ⁽²⁾ allowed | ✓ Gap 3.97 eV — transparent at 775nm | ✓ n=2.09 — ideal waveguide confinement | ✓ Piezo=1.58 C/m² — strong χ⁽²⁾ proxy
