formula,material_id,ml_prob,T2_us,band_gap,hull_eV,direct_gap,composite_v2,elements,formation_eV_x,ordering,T2_CeO2,T2_CaO,T2_SiO2,T2_Si,T2_SiC,T2_Graphite,T2_Diamond,tier,T2_corrected_capped,rank,theoretical,icsd_ids,cod_ids,synthesized,formation_eV_y,density_gcc,spacegroup,crystal_system,nsites,volume_A3,formation_eV
BaPSe3,mp-11008,0.997,164.97,2.165,0.0,False,0.8924,"['Ba', 'P', 'Se']",-1.294,NM,500.0,500.0,164.97,97.33,75.89,65.99,52.79,Tier 1 — synthesised + T2>10μs,164.97,1,False,['icsd-412768'],[],True,-1.2940538178348213,4.526466321817415,P2_1/c,Monoclinic,20,594.5640041838495,0.0
Ag3P11,mp-27821,0.9718,17.83,0.831,0.0,False,0.7783,"['Ag', 'P']",-0.046,NM,245.34,170.99,17.83,10.52,8.2,7.13,5.71,Tier 1 — synthesised + T2>10μs,17.83,2,False,['icsd-26563'],[],True,-0.04616663662414818,3.8544115163647326,Cm,Monoclinic,14,286.19742275452717,0.0
Ba4Nb2WO12,mp-1228131,0.9982,6.65,2.736,0.0,True,0.7655,"['Ba', 'Nb', 'W', 'O']",-3.103,NM,91.5,63.77,6.65,3.92,3.06,2.66,2.13,Tier 4 — theoretical + T2<10μs,6.65,3,True,[],[],False,-3.1034034157894737,6.476315085976606,R3m,Trigonal,19,284.8505308412696,0.0
Ba3Zr2O7,mp-755895,0.9673,16.19,3.025,0.0,False,0.7454,"['Ba', 'Zr', 'O']",-3.52,NM,222.77,155.26,16.19,9.55,7.45,6.48,5.18,Tier 3 — theoretical + T2>10μs,16.19,4,True,[],[],False,-3.5195134820833345,6.028274906642524,I4/mmm,Tetragonal,12,194.5906578283986,0.0
BaSr3(SnO3)4,mp-1227795,0.9758,4.03,1.229,0.0211,True,0.7424,"['Ba', 'Sr', 'Sn', 'O']",-2.604,NM,55.45,38.65,4.03,2.38,1.85,1.61,1.29,Tier 4 — theoretical + T2<10μs,4.03,5,True,[],[],False,-2.603740592999999,6.284910256273541,Pm,Monoclinic,20,281.91779881702865,0.0
Ba2TaN3,mp-17400,0.9879,3.8,2.013,0.0,False,0.7408,"['Ba', 'Ta', 'N']",-1.252,NM,52.29,36.44,3.8,2.24,1.75,1.52,1.22,Tier 2 — synthesised + T2>3μs,3.8,6,False,['icsd-74503'],[],True,-1.2520875645555545,6.694245035155846,C2/c,Monoclinic,24,493.74992101650156,0.0
CaSe,mp-1415,0.9507,4.87,2.076,0.0,False,0.7388,"['Ca', 'Se']",-2.316,NM,67.01,46.7,4.87,2.87,2.24,1.95,1.56,Tier 2 — synthesised + T2>3μs,4.87,7,False,"['icsd-187695', 'icsd-41957', 'icsd-52788', 'icsd-619571', 'icsd-60201', 'icsd-53948', 'icsd-619570', 'icsd-619572', 'icsd-186789']",[],True,-2.315957819531251,3.7716460348698706,Fm-3m,Cubic,2,52.40874882176445,0.0
BaZr(PO4)2,mp-556139,0.9986,22.44,4.159,0.0,False,0.7355,"['Ba', 'Zr', 'P', 'O']",-3.288,NM,308.77,215.2,22.44,13.24,10.32,8.98,7.18,Tier 1 — synthesised + T2>10μs,22.44,8,False,['icsd-153124'],[],True,-3.2875063941071123,3.8381214383337614,C2/m,Monoclinic,12,181.0586741365615,0.0
BaCdO2,mp-7899,0.9653,4.31,0.975,0.0,False,0.7248,"['Ba', 'Cd', 'O']",-2.137,NM,59.31,41.33,4.31,2.54,1.98,1.72,1.38,Tier 2 — synthesised + T2>3μs,4.31,9,False,['icsd-25555'],[],True,-2.136694586874999,6.800727740883494,Pnma,Orthorhombic,16,275.1675887508609,0.0
CaHfN2,mp-1029359,0.999,5.44,0.543,0.0,False,0.7214,"['Ca', 'Hf', 'N']",-1.876,NM,74.85,52.17,5.44,3.21,2.5,2.18,1.74,Tier 4 — theoretical + T2<10μs,5.44,10,True,[],[],False,-1.875544676875002,7.890793115059406,R-3m,Trigonal,4,51.89060749641861,0.0
